UnitNameValue	UnitIcon	UnitPortrait	TrainingIcon	ImpIcon	MOVValue	CCValue	BSValue	PHValue	WIPValue	ARMValue	BTSValue	WValue	AVAValue	SWCCost	UnitCost	UnitNotesValue	Ability1Title	Ability1Text	Ability2Title	Ability2Text	Weapon1Value	Weapon2Value	Weapon3Value	Weapon4Value	Weapon5Value 
Deva Functionaries - Sensor	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280825-0356-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280825-0356.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	14	12	11	15	2	-3	1	4	1	26	Sensor, V: No Wound Incapacitation	Sensor	The miniature possesses high sensitivity detection equipment, or a perfect sense of smell, that allows him to detect hidden figures nearby. The miniature that possess Sensor can make a Normal WIP Roll (Distance, Camouflage or TO Camouflage Modifiers are not applied) to Discover all models that are Camouflaged or in Hidden Deployment within a radius of 8 inches around him. Sensor is a Short Skill and does not need a LoF. A miniature possessing the Sensor and Forward Observer Special Skills can mark a target outside his LoF (using his pertinent Short Skill), if he is within the Sensor radius of effect and the target has been previously discovered. In such a case, a Distance, Cover, CH and ODD Modifiers will not be applied to the Forward Observer WIP roll. A miniature with Camouflage, TO Camouflage, or Impersonation cannot Camouflage again, or return to the Impersonation state, within the Sensor area.  	 V: No Wound Incapacitation	This Special Skill functions automatically, allowing the miniature, after receiving a Wound, to avoid passing to the Unconscious state. Another Wound will be needed to destroy him. The miniature can be cured by a Doctor, AutoMediKit, MediKit, and Regeneration, although if he fails this roll he will automatically die.	Nanopulser	Combi Rifle	Knife	Pistol		
Deva Functionaries - Hacker	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280825-0356-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280825-0356.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	14	12	11	15	2	-3	1	4	0.5	35	Hacker, Hacking Device, V: No Wound Incapacitation	 Hacking Device	This allows computer attacks to be performed against other systems and devices and also to defend against a cyberattack. See Hacker combat rules for details. All Hacking Devices are Repeaters for the other Hackers of the same army. . The Hacking Device Plus has an additional advanced system of Localization-Identification-Liaison that works as a Forward Observer, but only within the Hacker's, or his Repeater's, Zone of Control (8 inches): LoF with the enemy is not required. In order to mark a target with the Hacker Device Plus Forward Observer function, it is necessary to spend an Order and pass a WIP Roll. The target can react by Dodging the marking of the Forward Observer Hacking Device Plus, provided he has LoF.	 V: No Wound Incapacitation	This Special Skill functions automatically, allowing the miniature, after receiving a Wound, to avoid passing to the Unconscious state. Another Wound will be needed to destroy him. The miniature can be cured by a Doctor, AutoMediKit, MediKit, and Regeneration, although if he fails this roll he will automatically die.	Nanopulser	Combi Rifle	Knife	Pistol		
Deva Functionaries - Devabot	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280825-0356-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280825-0356.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	14	12	11	15	2	-3	1	4	0	27	Companion: Devabot, V: No Wound Incapacitation	 V: No Wound Incapacitation	This Special Skill functions automatically, allowing the miniature, after receiving a Wound, to avoid passing to the Unconscious state. Another Wound will be needed to destroy him. The miniature can be cured by a Doctor, AutoMediKit, MediKit, and Regeneration, although if he fails this roll he will automatically die.			Nanopulser	Combi Rifle	Knife	Pistol		
Devabot	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280825-0356-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280825-0356.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		6-4	8	10	8	11	0	-3	1	C	0	0	G: Synchronized	G: Synchronized	With this Special Skill a non-Hacker miniature can control an auxiliary Remote which has synchronized its Ghost with his. This is an automatic Special Skill and it does not require the spending of any Orders or making any rolls to use it. The Controller and the Remote only provide a single Order to the Orders Reserve and both are activated with only one Order. It is mandatory both figures belong to the same Combat Group where they count as a single figure. A Synchronized Remote basically replicates the actions performed by its Controller. To act, the Controller and the Remote must declare the same Order, but it is not necessary they have the same target. If one of the two figures cannot perform the complete Order (the Long Skill or both Short Skills of the Order), he will be inactive and he will not perform the Order. However, if he can only perform one of the two Short Skills of the Order, then he will perform that single Skill, while the other figure will perform the complete Order.  Example: 			Heavy Flamethrower	Electric Pulse				
Garuda Tacbots	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280810-0254-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280810-0254.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		6-4	8	12	11	13	0	-3	1	2	0	22	AD: Combat Jump, CH: Mimetism	AD: Combat Jump	Figures with this special jump equipment are trained to descend at full speed over the battlefield surprising enemies with devastating sudden attacks. The active player can deploy a miniature with AD: Combat Jump at any point during the battle. The figure spends 1 Order (His own, not one from the Orders Reserve) and makes a PH Normal Roll. If successful he deploys to any point on the table nominated by his owner, facing in any direction desired. Dispersion: If he fails the PH roll, the miniature suffers a detour in his fall, deviating as many inches as the Failure Category multiplied by 2.5 (FC x 2.5). In order to determine in which direction the miniature deviates, a Circular Template is used. Place the Circular Template on the target point where the miniature was supposed to land, with the number 1 facing towards the centre of the table. The second digit of the dice Roll is used indicate the direction in which the miniature deviate. If deviation prompts the figure to fall outside the battlefield, he will have to spend an extra Order from the Order Reserve to appear on the border of the game table at the point where he would have left. A figure cannot nominate as jump target the interior of a Smoke zone, or in Impassable Terrain or Zones of Low or Zero Visibility. The landing zone is of the same size as a Circular Template and must be free of scenery elements. The figure with Combat Jump can land on any point in the landing zone but the whole of its base must be in the interior of the Circular Template. A figure cannot land in base to base contact with another miniature. If a Coordinated Order is used to perform a Combat Jump, all the miniatures participating must choose the same template as their landing point. Those failing their PH Roll will be dispersed individually. Figures possessing Combat Jump can also deploy themselves, if they wish to, as if they possessed the preceding levels in AD.  Remotes with Combat Jump will have to perform a PH Roll in order to jump. PH determines the automation and programming level of their jumps.  Impetuous Figures with Combat Jump will have to use their Impetuous Order to perform their jump. If they do not want to jump immediately, at the beginning of the turn they must spend an Order from their army's Orders Reserve in order to stop each impetuous figure from deploying with their Impetuous Order.	 CH: Mimetism	The figure has the special ability to obscure his appearance to an enemy. Moreover, he has basic mimetic tools and clothes or camouflage gear made with a photosensitive material, a cheaper alternative to chameleonic tools, and knows how to use it with the maximum results in order to avoid discovery. In game terms, any miniature attacking a figure with Mimetism will have a -3 Modifier to his BS Attribute for ranged attacks.  	Combi Rifle	Electric Pulse				
Garuda Tacbots - Shotgun	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280810-0254-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280810-0254.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		6-4	8	12	11	13	0	-3	1	2	0	22	AD: Combat Jump, CH: Mimetism	AD: Combat Jump	Figures with this special jump equipment are trained to descend at full speed over the battlefield surprising enemies with devastating sudden attacks. The active player can deploy a miniature with AD: Combat Jump at any point during the battle. The figure spends 1 Order (His own, not one from the Orders Reserve) and makes a PH Normal Roll. If successful he deploys to any point on the table nominated by his owner, facing in any direction desired. Dispersion: If he fails the PH roll, the miniature suffers a detour in his fall, deviating as many inches as the Failure Category multiplied by 2.5 (FC x 2.5). In order to determine in which direction the miniature deviates, a Circular Template is used. Place the Circular Template on the target point where the miniature was supposed to land, with the number 1 facing towards the centre of the table. The second digit of the dice Roll is used indicate the direction in which the miniature deviate. If deviation prompts the figure to fall outside the battlefield, he will have to spend an extra Order from the Order Reserve to appear on the border of the game table at the point where he would have left. A figure cannot nominate as jump target the interior of a Smoke zone, or in Impassable Terrain or Zones of Low or Zero Visibility. The landing zone is of the same size as a Circular Template and must be free of scenery elements. The figure with Combat Jump can land on any point in the landing zone but the whole of its base must be in the interior of the Circular Template. A figure cannot land in base to base contact with another miniature. If a Coordinated Order is used to perform a Combat Jump, all the miniatures participating must choose the same template as their landing point. Those failing their PH Roll will be dispersed individually. Figures possessing Combat Jump can also deploy themselves, if they wish to, as if they possessed the preceding levels in AD.  Remotes with Combat Jump will have to perform a PH Roll in order to jump. PH determines the automation and programming level of their jumps.  Impetuous Figures with Combat Jump will have to use their Impetuous Order to perform their jump. If they do not want to jump immediately, at the beginning of the turn they must spend an Order from their army's Orders Reserve in order to stop each impetuous figure from deploying with their Impetuous Order.	 CH: Mimetism	The figure has the special ability to obscure his appearance to an enemy. Moreover, he has basic mimetic tools and clothes or camouflage gear made with a photosensitive material, a cheaper alternative to chameleonic tools, and knows how to use it with the maximum results in order to avoid discovery. In game terms, any miniature attacking a figure with Mimetism will have a -3 Modifier to his BS Attribute for ranged attacks.  	Boarding Shotgun	Electric Pulse				
Garuda Tacbots - HMG	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280810-0254-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280810-0254.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		6-4	8	12	11	13	0	-3	1	2	1.5	31	AD: Combat Jump, CH: Mimetism	AD: Combat Jump	Figures with this special jump equipment are trained to descend at full speed over the battlefield surprising enemies with devastating sudden attacks. The active player can deploy a miniature with AD: Combat Jump at any point during the battle. The figure spends 1 Order (His own, not one from the Orders Reserve) and makes a PH Normal Roll. If successful he deploys to any point on the table nominated by his owner, facing in any direction desired. Dispersion: If he fails the PH roll, the miniature suffers a detour in his fall, deviating as many inches as the Failure Category multiplied by 2.5 (FC x 2.5). In order to determine in which direction the miniature deviates, a Circular Template is used. Place the Circular Template on the target point where the miniature was supposed to land, with the number 1 facing towards the centre of the table. The second digit of the dice Roll is used indicate the direction in which the miniature deviate. If deviation prompts the figure to fall outside the battlefield, he will have to spend an extra Order from the Order Reserve to appear on the border of the game table at the point where he would have left. A figure cannot nominate as jump target the interior of a Smoke zone, or in Impassable Terrain or Zones of Low or Zero Visibility. The landing zone is of the same size as a Circular Template and must be free of scenery elements. The figure with Combat Jump can land on any point in the landing zone but the whole of its base must be in the interior of the Circular Template. A figure cannot land in base to base contact with another miniature. If a Coordinated Order is used to perform a Combat Jump, all the miniatures participating must choose the same template as their landing point. Those failing their PH Roll will be dispersed individually. Figures possessing Combat Jump can also deploy themselves, if they wish to, as if they possessed the preceding levels in AD.  Remotes with Combat Jump will have to perform a PH Roll in order to jump. PH determines the automation and programming level of their jumps.  Impetuous Figures with Combat Jump will have to use their Impetuous Order to perform their jump. If they do not want to jump immediately, at the beginning of the turn they must spend an Order from their army's Orders Reserve in order to stop each impetuous figure from deploying with their Impetuous Order.	 CH: Mimetism	The figure has the special ability to obscure his appearance to an enemy. Moreover, he has basic mimetic tools and clothes or camouflage gear made with a photosensitive material, a cheaper alternative to chameleonic tools, and knows how to use it with the maximum results in order to avoid discovery. In game terms, any miniature attacking a figure with Mimetism will have a -3 Modifier to his BS Attribute for ranged attacks.  	HMG	Electric Pulse				
Lamedh Rebots	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280811-0261-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280811-0261.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		6-6	8	8	8	13	0	-3	1	3	0	8	CH: Mimetism, G: Remote Presence, Multiterrain, Repeater	CH: Mimetism	The figure has the special ability to obscure his appearance to an enemy. Moreover, he has basic mimetic tools and clothes or camouflage gear made with a photosensitive material, a cheaper alternative to chameleonic tools, and knows how to use it with the maximum results in order to avoid discovery. In game terms, any miniature attacking a figure with Mimetism will have a -3 Modifier to his BS Attribute for ranged attacks.  	 G: Remote Presence	Remote Presence: This Special Skill is possessed by Remotes and unmanned T.A.G.s. Remotes have pseudo-AIs and expert programs that rule their behaviour in combat, operating in pure logic where fear has no place. In the case of Remote Presence T.A.G.s, the driver is not physically present on the battlefield and remotely controls it from a safe distance. Remote Presence is considered confers the Valor: Courage Special Skill. Figures with Remote Presence cannot have a Cube.  	Electric Pulse					
Maruts	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280807-0242-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280807-0242.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		6-4	18	15	17	15	8	-9	3	1	3	126	ECM, G: Remote Presence, Multispectral Visor L2, Multiterrain	ECM	Electronic Countermeasures. This term encompasses all devices that vehicles and T.A.G.s use to avoid and neutralize incoming enemy guided projectiles. Standard ECM includes a system of fire detection, localization and proximity radars as well as small battery of micromissiles loaded with nanotechnological chaff. This equipment tampers with the systems of enemy guided projectiles, forcing them to deviate from their target and to explode out of range. ECM from Ariadna are similar to modern ones, although comparatively bigger. Instead of nanotech micromissiles, their ECM systems are equipped with a battery of rockets that create a wall of explosions that detonate enemy guided projectiles. ECM has a standard level of 5, requiring a Normal Roll of 5 or less for each incoming guided projectiles to deflect and detonate the projectile without causing any damage. ECM functions automatically and does not require spending of any Orders or having LoF and can be used in ARO. ECM allows reacting in ARO against enemy guided projectiles.  	 G: Remote Presence	Remote Presence: This Special Skill is possessed by Remotes and unmanned T.A.G.s. Remotes have pseudo-AIs and expert programs that rule their behaviour in combat, operating in pure logic where fear has no place. In the case of Remote Presence T.A.G.s, the driver is not physically present on the battlefield and remotely controls it from a safe distance. Remote Presence is considered confers the Valor: Courage Special Skill. Figures with Remote Presence cannot have a Cube.  	MULTI HMG	Nanopulser	Heavy GL	AP CCW		
Maruts - Lieutenant	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280807-0242-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280807-0242.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		6-4	18	15	17	15	8	-9	3	1	3	122	Lieutenant, Strategos L3, ECM, G: Remote Presence, Multispectral Visor L2, Multiterrain	 Strategos L3	Strategos Level 3: If the Strategos figure is the Lieutenant, he not only can use the preceding levels of this Special Skill, but can also prevent his adversary, during the Deployment phase, deploying a miniature after him. A Strategos L2 against a Strategos L3 can reserve one figure in his deployment, while the L3 can reserve two miniatures. Two opposing Strategos L3 will perform a Deployment as usual and as stated in the rules, reserving one figure to deploy after their adversary.   	 ECM	Electronic Countermeasures. This term encompasses all devices that vehicles and T.A.G.s use to avoid and neutralize incoming enemy guided projectiles. Standard ECM includes a system of fire detection, localization and proximity radars as well as small battery of micromissiles loaded with nanotechnological chaff. This equipment tampers with the systems of enemy guided projectiles, forcing them to deviate from their target and to explode out of range. ECM from Ariadna are similar to modern ones, although comparatively bigger. Instead of nanotech micromissiles, their ECM systems are equipped with a battery of rockets that create a wall of explosions that detonate enemy guided projectiles. ECM has a standard level of 5, requiring a Normal Roll of 5 or less for each incoming guided projectiles to deflect and detonate the projectile without causing any damage. ECM functions automatically and does not require spending of any Orders or having LoF and can be used in ARO. ECM allows reacting in ARO against enemy guided projectiles.  	MULTI HMG	Nanopulser	Heavy Flamethrower	AP CCW		
Myrmidon Officer	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280819-0313-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280819-0313.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	17	12	13	14	2	-3	1	1	0.5	32	Lieutenant, Martial Arts L3, ODD: Optical Disruptor, V: No Wound Incapacitation, Fireteam: Enomotarchos	 Martial Arts L3	First Attack: This allows the figure to attack first in CC, making a Normal Roll to hit. If the defender survives, he can counter attack with a Normal Roll of CC. A figure with this ability may also use the CC Attribute instead of PH to disengage from Close Combat. This level is only applicable in CC. Two figures with Martial Arts L3 will perform their First Attack at the same time, so they have to make a Face to Face Roll.  	 ODD: Optical Disruptor	This Special Skill produces a personal field of photonic perturbation, frustrating any attempt to aim at its bearer. It allows the possessor, without spending any Order or making any roll, to deploy with an activated OD. During the battle, any figure trying to aim at the possessor of an OD will suffer a -6 to his BS Attribute rolls 2.  	Nanopulser	Combi Rifle	Smoke Grenades	AP CCW	Pistol	
Myrmidon Officer - ChainComm	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280819-0313-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280819-0313.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	17	12	13	14	2	-3	1	1	1	39	Chain of Command, Martial Arts L3, ODD: Optical Disruptor, V: No Wound Incapacitation, Fireteam: Enomotarchos	Chain of Command	The figure who possesses this Special Skill is the next in line to become the officer commanding the combat unit. In game terms, if the trooper is on the game table as a figure or a Marker, and the Lieutenant falls Unconscious or Dead, he will take command automatically, becoming the new Lieutenant with no spending of Orders required and ignoring the effects of the Loss of Lieutenant rule. If, when the Lieutenant is shot down, the owner of the Chain of Command Special Skill is off the game table, once he is placed on it the Loss of Lieutenant state is cancelled and the player automatically recovers the entire Order Reserve that would have been available, with the exception of Orders spent previously. This Special Skill functions automatically and its use is not optional.  	 Martial Arts L3	First Attack: This allows the figure to attack first in CC, making a Normal Roll to hit. If the defender survives, he can counter attack with a Normal Roll of CC. A figure with this ability may also use the CC Attribute instead of PH to disengage from Close Combat. This level is only applicable in CC. Two figures with Martial Arts L3 will perform their First Attack at the same time, so they have to make a Face to Face Roll.  	Nanopulser	Boarding Shotgun	Zero-V Smoke Grenades	AP CCW	Pistol	
Myrmidon Officer - ChainCommCombi	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280819-0313-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280819-0313.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	17	12	13	14	2	-3	1	1	1	39	Chain of Command, Martial Arts L3, ODD: Optical Disruptor, V: No Wound Incapacitation, Fireteam: Enomotarchos	Chain of Command	The figure who possesses this Special Skill is the next in line to become the officer commanding the combat unit. In game terms, if the trooper is on the game table as a figure or a Marker, and the Lieutenant falls Unconscious or Dead, he will take command automatically, becoming the new Lieutenant with no spending of Orders required and ignoring the effects of the Loss of Lieutenant rule. If, when the Lieutenant is shot down, the owner of the Chain of Command Special Skill is off the game table, once he is placed on it the Loss of Lieutenant state is cancelled and the player automatically recovers the entire Order Reserve that would have been available, with the exception of Orders spent previously. This Special Skill functions automatically and its use is not optional.  	 Martial Arts L3	First Attack: This allows the figure to attack first in CC, making a Normal Roll to hit. If the defender survives, he can counter attack with a Normal Roll of CC. A figure with this ability may also use the CC Attribute instead of PH to disengage from Close Combat. This level is only applicable in CC. Two figures with Martial Arts L3 will perform their First Attack at the same time, so they have to make a Face to Face Roll.  	Nanopulser	Combi Rifle	Smoke Grenades	AP CCW	Pistol	
Myrmidon Officer - BS Lt	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280819-0313-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280819-0313.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	17	12	13	14	2	-3	1	1	0.5	32	Lieutenant, Martial Arts L3, ODD: Optical Disruptor, V: No Wound Incapacitation, Fireteam: Enomotarchos	 Martial Arts L3	First Attack: This allows the figure to attack first in CC, making a Normal Roll to hit. If the defender survives, he can counter attack with a Normal Roll of CC. A figure with this ability may also use the CC Attribute instead of PH to disengage from Close Combat. This level is only applicable in CC. Two figures with Martial Arts L3 will perform their First Attack at the same time, so they have to make a Face to Face Roll.  	 ODD: Optical Disruptor	This Special Skill produces a personal field of photonic perturbation, frustrating any attempt to aim at its bearer. It allows the possessor, without spending any Order or making any roll, to deploy with an activated OD. During the battle, any figure trying to aim at the possessor of an OD will suffer a -6 to his BS Attribute rolls 2.  	Nanopulser	Boarding Shotgun	Zero-V Smoke Grenades	AP CCW	Pistol	
Myrmidons	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280823-0341-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280823-0341.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	17	12	13	13	2	0	1	T	0	25	Martial Arts L3, ODD: Optical Disruptor	Martial Arts L3	First Attack: This allows the figure to attack first in CC, making a Normal Roll to hit. If the defender survives, he can counter attack with a Normal Roll of CC. A figure with this ability may also use the CC Attribute instead of PH to disengage from Close Combat. This level is only applicable in CC. Two figures with Martial Arts L3 will perform their First Attack at the same time, so they have to make a Face to Face Roll.  	 ODD: Optical Disruptor	This Special Skill produces a personal field of photonic perturbation, frustrating any attempt to aim at its bearer. It allows the possessor, without spending any Order or making any roll, to deploy with an activated OD. During the battle, any figure trying to aim at the possessor of an OD will suffer a -6 to his BS Attribute rolls 2.  	Nanopulser	Smoke Grenades	Combi Rifle	Pistol	AP CCW	
Myrmidons - Hacker	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280823-0341-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280823-0341.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	17	12	13	13	2	0	1	T	0.5	37	Hacker, Hacking Device, Martial Arts L3, ODD: Optical Disruptor	 Hacking Device	This allows computer attacks to be performed against other systems and devices and also to defend against a cyberattack. See Hacker combat rules for details. All Hacking Devices are Repeaters for the other Hackers of the same army. . The Hacking Device Plus has an additional advanced system of Localization-Identification-Liaison that works as a Forward Observer, but only within the Hacker's, or his Repeater's, Zone of Control (8 inches): LoF with the enemy is not required. In order to mark a target with the Hacker Device Plus Forward Observer function, it is necessary to spend an Order and pass a WIP Roll. The target can react by Dodging the marking of the Forward Observer Hacking Device Plus, provided he has LoF.	 Martial Arts L3	First Attack: This allows the figure to attack first in CC, making a Normal Roll to hit. If the defender survives, he can counter attack with a Normal Roll of CC. A figure with this ability may also use the CC Attribute instead of PH to disengage from Close Combat. This level is only applicable in CC. Two figures with Martial Arts L3 will perform their First Attack at the same time, so they have to make a Face to Face Roll.  	Nanopulser	Smoke Grenades	Combi Rifle	Pistol	AP CCW	
Myrmidons - Shotgun	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280823-0341-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280823-0341.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	17	12	13	13	2	0	1	T	0	25	Martial Arts L3, ODD: Optical Disruptor	Martial Arts L3	First Attack: This allows the figure to attack first in CC, making a Normal Roll to hit. If the defender survives, he can counter attack with a Normal Roll of CC. A figure with this ability may also use the CC Attribute instead of PH to disengage from Close Combat. This level is only applicable in CC. Two figures with Martial Arts L3 will perform their First Attack at the same time, so they have to make a Face to Face Roll.  	 ODD: Optical Disruptor	This Special Skill produces a personal field of photonic perturbation, frustrating any attempt to aim at its bearer. It allows the possessor, without spending any Order or making any roll, to deploy with an activated OD. During the battle, any figure trying to aim at the possessor of an OD will suffer a -6 to his BS Attribute rolls 2.  	Nanopulser	Smoke Grenades	Boarding Shotgun	Pistol	AP CCW	
Myrmidons - Chain	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280823-0341-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280823-0341.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	17	12	13	13	2	0	1	T	0	16	Martial Arts L3, ODD: Optical Disruptor	Martial Arts L3	First Attack: This allows the figure to attack first in CC, making a Normal Roll to hit. If the defender survives, he can counter attack with a Normal Roll of CC. A figure with this ability may also use the CC Attribute instead of PH to disengage from Close Combat. This level is only applicable in CC. Two figures with Martial Arts L3 will perform their First Attack at the same time, so they have to make a Face to Face Roll.  	 ODD: Optical Disruptor	This Special Skill produces a personal field of photonic perturbation, frustrating any attempt to aim at its bearer. It allows the possessor, without spending any Order or making any roll, to deploy with an activated OD. During the battle, any figure trying to aim at the possessor of an OD will suffer a -6 to his BS Attribute rolls 2.  	Nanopulser	Smoke Grenades	Chain Rifle	Pistol	AP CCW	
Myrmidons - Spitfire	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280823-0341-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280823-0341.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	17	12	13	13	2	0	1	T	1	32	Martial Arts L3, ODD: Optical Disruptor	Martial Arts L3	First Attack: This allows the figure to attack first in CC, making a Normal Roll to hit. If the defender survives, he can counter attack with a Normal Roll of CC. A figure with this ability may also use the CC Attribute instead of PH to disengage from Close Combat. This level is only applicable in CC. Two figures with Martial Arts L3 will perform their First Attack at the same time, so they have to make a Face to Face Roll.  	 ODD: Optical Disruptor	This Special Skill produces a personal field of photonic perturbation, frustrating any attempt to aim at its bearer. It allows the possessor, without spending any Order or making any roll, to deploy with an activated OD. During the battle, any figure trying to aim at the possessor of an OD will suffer a -6 to his BS Attribute rolls 2.  	Nanopulser	Smoke Grenades	Spitfire	Pistol	AP CCW	
Myrmidons - EXP CCW	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280823-0341-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Aleph\280823-0341.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	17	12	13	13	2	0	1	T	0	27	Martial Arts L3, ODD: Optical Disruptor	Martial Arts L3	First Attack: This allows the figure to attack first in CC, making a Normal Roll to hit. If the defender survives, he can counter attack with a Normal Roll of CC. A figure with this ability may also use the CC Attribute instead of PH to disengage from Close Combat. This level is only applicable in CC. Two figures with Martial Arts L3 will perform their First Attack at the same time, so they have to make a Face to Face Roll.  	 ODD: Optical Disruptor	This Special Skill produces a personal field of photonic perturbation, frustrating any attempt to aim at its bearer. It allows the possessor, without spending any Order or making any roll, to deploy with an activated OD. During the battle, any figure trying to aim at the possessor of an OD will suffer a -6 to his BS Attribute rolls 2.  	Nanopulser	Smoke Grenades	Combi Rifle	Pistol	EXP CCW	
