UnitNameValue	UnitIcon	UnitPortrait	TrainingIcon	ImpIcon	MOVValue	CCValue	BSValue	PHValue	WIPValue	ARMValue	BTSValue	WValue	AVAValue	SWCCost	UnitCost	UnitNotesValue	Ability1Title	Ability1Text	Ability2Title	Ability2Text	Weapon1Value	Weapon2Value	Weapon3Value	Weapon4Value	Weapon5Value 
Moblots - Camo	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280143-0272-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280143-0272.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	15	13	13	12	3	0	1	3	0	32	CH: Mimetism, Jungle Terrain, Shock Immunity	CH: Mimetism	The figure has the special ability to obscure his appearance to an enemy. Moreover, he has basic mimetic tools and clothes or camouflage gear made with a photosensitive material, a cheaper alternative to chameleonic tools, and knows how to use it with the maximum results in order to avoid discovery. In game terms, any miniature attacking a figure with Mimetism will have a -3 Modifier to his BS Attribute for ranged attacks.  	 Shock Immunity	Shock Immunity: The miniature is immune to Shock Ammunition and Shock weapons, ignoring their special effect and considering them as normal weapons and Ammunition.  	Rifle	Light Shotgun	CCW	Pistol		
Moblots - Panzerfaust	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280143-0272-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280143-0272.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	15	13	13	12	3	0	1	3	1	31	Jungle Terrain, Shock Immunity	 Shock Immunity	Shock Immunity: The miniature is immune to Shock Ammunition and Shock weapons, ignoring their special effect and considering them as normal weapons and Ammunition.  			Panzerfaust	Rifle	Light Shotgun	CCW	Pistol	
Moblots - AP Rifle	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280143-0272-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280143-0272.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	15	13	13	12	3	0	1	3	0	34	Jungle Terrain, Shock Immunity	 Shock Immunity	Shock Immunity: The miniature is immune to Shock Ammunition and Shock weapons, ignoring their special effect and considering them as normal weapons and Ammunition.  			AP Rifle	Light Shotgun	CCW	Pistol		
Moblots - HMG	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280143-0272-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280143-0272.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	15	13	13	12	3	0	1	3	1.5	36	Jungle Terrain, Shock Immunity	 Shock Immunity	Shock Immunity: The miniature is immune to Shock Ammunition and Shock weapons, ignoring their special effect and considering them as normal weapons and Ammunition.  			HMG	CCW	Pistol			
Veteran Kazaks - T2	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280128-0175-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280128-0175.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	15	13	13	13	4	0	1	2	0	49	X Visor, Shock Immunity, Veteran (V: No Wound Incapacitation, Sixth Sense L2)	X Visor	Technological and evolutionary advances have given this miniature a vision with a zoom effect. Modifiers for Long Distance are reduced to 0 and those of Maximum Distance drop to -3.  	 Shock Immunity	Shock Immunity: The miniature is immune to Shock Ammunition and Shock weapons, ignoring their special effect and considering them as normal weapons and Ammunition.  	Light Flamethrower	T2 Rifle	CCW	Pistol		
Veteran Kazaks	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280128-0175-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280128-0175.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	15	13	13	13	4	0	1	2	0	47	CH: Mimetism, Shock Immunity, Veteran (V: No Wound Incapacitation, Sixth Sense L2)	CH: Mimetism	The figure has the special ability to obscure his appearance to an enemy. Moreover, he has basic mimetic tools and clothes or camouflage gear made with a photosensitive material, a cheaper alternative to chameleonic tools, and knows how to use it with the maximum results in order to avoid discovery. In game terms, any miniature attacking a figure with Mimetism will have a -3 Modifier to his BS Attribute for ranged attacks.  	 Shock Immunity	Shock Immunity: The miniature is immune to Shock Ammunition and Shock weapons, ignoring their special effect and considering them as normal weapons and Ammunition.  	Light Flamethrower	AP Rifle	CCW	Pistol		
Veteran Kazaks - HMG Lt	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280128-0175-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280128-0175.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	15	13	13	13	4	0	1	2	1	61	Lieutenant, CH: Mimetism, Shock Immunity, Veteran (V: No Wound Incapacitation, Sixth Sense L2)	 CH: Mimetism	The figure has the special ability to obscure his appearance to an enemy. Moreover, he has basic mimetic tools and clothes or camouflage gear made with a photosensitive material, a cheaper alternative to chameleonic tools, and knows how to use it with the maximum results in order to avoid discovery. In game terms, any miniature attacking a figure with Mimetism will have a -3 Modifier to his BS Attribute for ranged attacks.  	 Shock Immunity	Shock Immunity: The miniature is immune to Shock Ammunition and Shock weapons, ignoring their special effect and considering them as normal weapons and Ammunition.  	Light Flamethrower	AP HMG	CCW	Pistol		
Veteran Kazaks - Lieutenant	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280128-0175-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280128-0175.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	15	13	13	13	4	0	1	2	0	47	Lieutenant, CH: Mimetism, Shock Immunity, Veteran (V: No Wound Incapacitation, Sixth Sense L2)	 CH: Mimetism	The figure has the special ability to obscure his appearance to an enemy. Moreover, he has basic mimetic tools and clothes or camouflage gear made with a photosensitive material, a cheaper alternative to chameleonic tools, and knows how to use it with the maximum results in order to avoid discovery. In game terms, any miniature attacking a figure with Mimetism will have a -3 Modifier to his BS Attribute for ranged attacks.  	 Shock Immunity	Shock Immunity: The miniature is immune to Shock Ammunition and Shock weapons, ignoring their special effect and considering them as normal weapons and Ammunition.  	Light Flamethrower	AP Rifle	CCW	Pistol		
Veteran Kazaks - Doctor	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280128-0175-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280128-0175.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	15	13	13	13	4	0	1	2	0	48	Doctor, Shock Immunity, Veteran (V: No Wound Incapacitation, Sixth Sense L2)	Doctor	The miniature is a qualified doctor, with complete training in combat medicine and is a specialist in saving his companions from death. Doctor is a Short Skill that allows the miniature, when in base contact, after passing a WIP Roll, to make his patient pass from the Unconscious state to Normal, with a single Wound. If he fails the WIP Roll, the figure is considered to be Dead and is removed from the game table. Miniatures can be healed as many times as necessary, provided that the WIP rolls are successful. A miniature that has been healed can also benefit later from a MediKit, AutoMediKit, or Regeneration, and vice versa. A figure must be in base to base contact with a patient to use the Doctor Special Skill. A Doctor with the Special Skill V: No Wound Incapacitation who has suffered one Wound can try to heal himself but if he fails the WIP roll he will die automatically.  	 Shock Immunity	Shock Immunity: The miniature is immune to Shock Ammunition and Shock weapons, ignoring their special effect and considering them as normal weapons and Ammunition.  	Light Flamethrower	AP Rifle	CCW	Pistol		
Veteran Kazaks - Visor	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280128-0175-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280128-0175.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	15	13	13	13	4	0	1	2	0	47	Multispectral Visor L1, Shock Immunity, Veteran (V: No Wound Incapacitation, Sixth Sense L2)	Multispectral Visor L1	This allows the performance of Discovery or Shoot rolls without having to apply the Modifiers for CH: Mimetism, CH: Camouflage and Low Visibility Zones.  	 Shock Immunity	Shock Immunity: The miniature is immune to Shock Ammunition and Shock weapons, ignoring their special effect and considering them as normal weapons and Ammunition.  	Light Flamethrower	AP Rifle	CCW	Pistol		
Veteran Kazaks - AP HMG	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280128-0175-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280128-0175.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	15	13	13	13	4	0	1	2	2	61	CH: Mimetism, Shock Immunity, Veteran (V: No Wound Incapacitation, Sixth Sense L2)	CH: Mimetism	The figure has the special ability to obscure his appearance to an enemy. Moreover, he has basic mimetic tools and clothes or camouflage gear made with a photosensitive material, a cheaper alternative to chameleonic tools, and knows how to use it with the maximum results in order to avoid discovery. In game terms, any miniature attacking a figure with Mimetism will have a -3 Modifier to his BS Attribute for ranged attacks.  	 Shock Immunity	Shock Immunity: The miniature is immune to Shock Ammunition and Shock weapons, ignoring their special effect and considering them as normal weapons and Ammunition.  	Light Flamethrower	AP HMG	CCW	Pistol		
Foxtrot	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280124-0141-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280124-0141.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	13	11	13	13	0	0	1	3	0	17	CH: Camouflage, Infiltration	CH: Camouflage	The miniature has a special capacity, be it natural or learned, for hiding and stealth. He will also have chameleonic tools available: photoreactive cells and variable/ combinable environment patterns. These clothing-incorporated systems will merge the miniature with his surroundings. The Special Skill of Camouflage allows its owner to perform:   Camouflaged Deployment: This use is exclusive to the deployment phase and does not require the spending of any Orders or making of rolls. The miniature is not deployed in the usual way: a Camouflage Marker is placed instead. This type of Deployment also allows 3 miniatures (All with the Special Skill of Camouflage) to be deployed under the same Marker. One or more miniatures can be separated from the group at any point in the game, moving as a separate Camouflage Marker. All the figures placed under the Camouflage Marker are revealed if the adversary makes a successful Discover Roll, or if some of the figures perform an Order that uncovers them. When revealed, figures must appear no more than inch of distance from each other, although the player can place them facing however he likes. In game terms, a Camouflage Marker is always the same height as a base troop figure from its own army (Unless it has a Prone Marker beside it).   Camouflage in Movement: This allows the player to move the miniature without placing him on the battlefield. Only his Camouflage Marker will move. When several miniatures are moved under the same Camouflage Marker, they behave as if they were only one miniature. If they have different MOV values, the lowest is always used. The only Skills whose execution does not automatically rreveal the camouflaged figures are Cautious Movement and all Short Skills of Movement that do not require any roll (except Alert). The camouflaged figure reveals automatically when it is in base contact with another figure. If the figure is Discovered or is automatically revealed, the Camouflage Marker is replaced by its miniature (or miniatures), facing how the player prefers. If a Camouflage Marker does not perform anything but MOV in his turn, even if it crosses a Suppression Fire zone or a figure's ZC, the only ARO that can be executed against it is Discover or Change Facing.   Defensive Camouflage: To act against a Camouflage Marker, enemies must succeed in a Discover roll with a -3 Modifier. If the roll is failed, the camouflaged figure is not perceived and may not be a target of BS, CC, or any other Skill (Hacking, Sepsitor, etc.). If the Camouflaged miniature (Or miniatures, if they are clustered) is discovered, it will have to be placed on the battlefield, substituting the Camouflage Maker and losing all the advantages of Camouflage in Movement and Combat, but still complicating any BS Roll against him with a Modifier of -3. When placing the figure over terrain, he can face any direction his owner chooses.   Combat Camouflage: This allows a miniature in a camouflaged state to make a BS, Forward Observer, Sepsitor or Hacking attack before his opponent does. This attack is made with a Normal Roll. If the adversary survives the attack, he may then make any attacks he may have declared in ARO which are also made as Normal Rolls, with -3 to BS if shooting at the revealed figure. After this, the player will have to replace the Camouflage Marker with the correct figure. Combat Camouflage is only available for use with Ballistic Skills. In ARO, the reactions of Camouflaged soldiers are simultaneous to the Order they react to, so Face to Face Rolls will be made. If the Camouflaged figure receives an Intuitive Attack without having been Discovered first, he will have to reveal himself even if he passes the ARM Roll, removing the Camouflage Marker and placing the real figure. In the same way, if he is affected by a Template but the target was another figure, he will have to make an ARM Roll, revealing himself whether he passes the roll or not.   Camouflaging Again: When a figure has lost the Camouflaged status (It is represented by its figure and not a Camouflage Marker), he can recover his former status by spending 1 Order, provided that he is not in the LoF of any enemy miniatures. A figure in TO Camouflage in LoF of a miniature that intends to Camouflage itself again will have to reveal himself if he desires to prevent his enemy from re-entering Camouflaged status.	 Infiltration	Due to his ability to move stealthily, the miniature will be able to infiltrate the enemy's lines without being noticed. The use of the Infiltrate Special Skill is only allowed in the Deployment Phase. Infiltration allows a miniature the following options:   Option A: The miniature can be deployed, without having to spend an Order or make a Roll, up to the central area of the game table (within the half corresponding to his army). He is deployed in Camouflage or TO Camouflage status if applicable.   Option B: If the miniature wants to go further into enemy territory, he must to pass a Normal Roll of PH. Each 4 inch strip of distance advanced into enemy territory will add a cumulative Modifier of -1 to the roll. If he fails the roll, the Dispersion rule must now be applied. The centre of the Circular Template must be placed at the point in the battlefield where the figure wished to Infiltrate, with the number 1 pointing to the centre of the game table, multiplying the Failure Category by 2.5 (FC x 2.5) to determine where to place the infiltrator. Moreover, the miniature will lose the Camouflaged Deployment and Hidden Deployment options provided by the CH: Camouflage and CH: TO Camouflage Special Skills.   It is not allowed to Infiltrate inside the enemy's Zone of Deployment, or in base contact with another figure. If Dispersion would place the miniature in either position, move the figure back towards its initial Infiltration point until it is no longer in an illegal position; ie. the figure will be placed on the limit of the enemy's Zone of Deployment closest to the initial Infiltration point.  	Rifle	Antipersonnel Mines	Knife	Pistol		
Foxtrot - Lieutenant	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280124-0141-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280124-0141.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	13	11	13	13	0	0	1	3	2	17	Lieutenant, CH: Camouflage, Infiltration	 CH: Camouflage	The miniature has a special capacity, be it natural or learned, for hiding and stealth. He will also have chameleonic tools available: photoreactive cells and variable/ combinable environment patterns. These clothing-incorporated systems will merge the miniature with his surroundings. The Special Skill of Camouflage allows its owner to perform:   Camouflaged Deployment: This use is exclusive to the deployment phase and does not require the spending of any Orders or making of rolls. The miniature is not deployed in the usual way: a Camouflage Marker is placed instead. This type of Deployment also allows 3 miniatures (All with the Special Skill of Camouflage) to be deployed under the same Marker. One or more miniatures can be separated from the group at any point in the game, moving as a separate Camouflage Marker. All the figures placed under the Camouflage Marker are revealed if the adversary makes a successful Discover Roll, or if some of the figures perform an Order that uncovers them. When revealed, figures must appear no more than inch of distance from each other, although the player can place them facing however he likes. In game terms, a Camouflage Marker is always the same height as a base troop figure from its own army (Unless it has a Prone Marker beside it).   Camouflage in Movement: This allows the player to move the miniature without placing him on the battlefield. Only his Camouflage Marker will move. When several miniatures are moved under the same Camouflage Marker, they behave as if they were only one miniature. If they have different MOV values, the lowest is always used. The only Skills whose execution does not automatically rreveal the camouflaged figures are Cautious Movement and all Short Skills of Movement that do not require any roll (except Alert). The camouflaged figure reveals automatically when it is in base contact with another figure. If the figure is Discovered or is automatically revealed, the Camouflage Marker is replaced by its miniature (or miniatures), facing how the player prefers. If a Camouflage Marker does not perform anything but MOV in his turn, even if it crosses a Suppression Fire zone or a figure's ZC, the only ARO that can be executed against it is Discover or Change Facing.   Defensive Camouflage: To act against a Camouflage Marker, enemies must succeed in a Discover roll with a -3 Modifier. If the roll is failed, the camouflaged figure is not perceived and may not be a target of BS, CC, or any other Skill (Hacking, Sepsitor, etc.). If the Camouflaged miniature (Or miniatures, if they are clustered) is discovered, it will have to be placed on the battlefield, substituting the Camouflage Maker and losing all the advantages of Camouflage in Movement and Combat, but still complicating any BS Roll against him with a Modifier of -3. When placing the figure over terrain, he can face any direction his owner chooses.   Combat Camouflage: This allows a miniature in a camouflaged state to make a BS, Forward Observer, Sepsitor or Hacking attack before his opponent does. This attack is made with a Normal Roll. If the adversary survives the attack, he may then make any attacks he may have declared in ARO which are also made as Normal Rolls, with -3 to BS if shooting at the revealed figure. After this, the player will have to replace the Camouflage Marker with the correct figure. Combat Camouflage is only available for use with Ballistic Skills. In ARO, the reactions of Camouflaged soldiers are simultaneous to the Order they react to, so Face to Face Rolls will be made. If the Camouflaged figure receives an Intuitive Attack without having been Discovered first, he will have to reveal himself even if he passes the ARM Roll, removing the Camouflage Marker and placing the real figure. In the same way, if he is affected by a Template but the target was another figure, he will have to make an ARM Roll, revealing himself whether he passes the roll or not.   Camouflaging Again: When a figure has lost the Camouflaged status (It is represented by its figure and not a Camouflage Marker), he can recover his former status by spending 1 Order, provided that he is not in the LoF of any enemy miniatures. A figure in TO Camouflage in LoF of a miniature that intends to Camouflage itself again will have to reveal himself if he desires to prevent his enemy from re-entering Camouflaged status.	 Infiltration	Due to his ability to move stealthily, the miniature will be able to infiltrate the enemy's lines without being noticed. The use of the Infiltrate Special Skill is only allowed in the Deployment Phase. Infiltration allows a miniature the following options:   Option A: The miniature can be deployed, without having to spend an Order or make a Roll, up to the central area of the game table (within the half corresponding to his army). He is deployed in Camouflage or TO Camouflage status if applicable.   Option B: If the miniature wants to go further into enemy territory, he must to pass a Normal Roll of PH. Each 4 inch strip of distance advanced into enemy territory will add a cumulative Modifier of -1 to the roll. If he fails the roll, the Dispersion rule must now be applied. The centre of the Circular Template must be placed at the point in the battlefield where the figure wished to Infiltrate, with the number 1 pointing to the centre of the game table, multiplying the Failure Category by 2.5 (FC x 2.5) to determine where to place the infiltrator. Moreover, the miniature will lose the Camouflaged Deployment and Hidden Deployment options provided by the CH: Camouflage and CH: TO Camouflage Special Skills.   It is not allowed to Infiltrate inside the enemy's Zone of Deployment, or in base contact with another figure. If Dispersion would place the miniature in either position, move the figure back towards its initial Infiltration point until it is no longer in an illegal position; ie. the figure will be placed on the limit of the enemy's Zone of Deployment closest to the initial Infiltration point.  	Rifle	Antipersonnel Mines	Knife	Pistol		
Foxtrot - Observer	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280124-0141-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280124-0141.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	13	11	13	13	0	0	1	3	0	20	Forward Observer, CH: Camouflage, Infiltration	Forward Observer	Forward Observer is a Short Skill. A Forward Observer in LoF with an enemy will be able to mark him after passing a WIP roll (Face to Face, or Normal, depending on the case), modified by Covers, Distance, Camouflage and Hiding Special Skill, or an Optical Disruptor Device. Distance Modifiers for marking with Forward Observer are applied as per the following table: There are two types of attacks that can be made as a result of the marking by a Forward Observer:   Speculative: When the Forward Observer passes his WIP Roll, the target remains marked for any other comrade that wants to shoot at that target, and the Speculative Fire Modifier is not applied.   Guided: When the Forward Observer passes his WIP Roll the target will remain marked for any other comrade possessing a weapon with Guided Ammunition. This figure will be able to use the Short Skill Ballistic Skills to hit the marked miniature without a roll required, as the WIP Roll of the Observer substitutes.   A miniature marked by a Forward Observer will be considered as marked until the end of the turn of the player possessing the Observer that marked it. The special equipment of Forward Observers allows them to use the Flash Pulse.  	 CH: Camouflage	The miniature has a special capacity, be it natural or learned, for hiding and stealth. He will also have chameleonic tools available: photoreactive cells and variable/ combinable environment patterns. These clothing-incorporated systems will merge the miniature with his surroundings. The Special Skill of Camouflage allows its owner to perform:   Camouflaged Deployment: This use is exclusive to the deployment phase and does not require the spending of any Orders or making of rolls. The miniature is not deployed in the usual way: a Camouflage Marker is placed instead. This type of Deployment also allows 3 miniatures (All with the Special Skill of Camouflage) to be deployed under the same Marker. One or more miniatures can be separated from the group at any point in the game, moving as a separate Camouflage Marker. All the figures placed under the Camouflage Marker are revealed if the adversary makes a successful Discover Roll, or if some of the figures perform an Order that uncovers them. When revealed, figures must appear no more than inch of distance from each other, although the player can place them facing however he likes. In game terms, a Camouflage Marker is always the same height as a base troop figure from its own army (Unless it has a Prone Marker beside it).   Camouflage in Movement: This allows the player to move the miniature without placing him on the battlefield. Only his Camouflage Marker will move. When several miniatures are moved under the same Camouflage Marker, they behave as if they were only one miniature. If they have different MOV values, the lowest is always used. The only Skills whose execution does not automatically rreveal the camouflaged figures are Cautious Movement and all Short Skills of Movement that do not require any roll (except Alert). The camouflaged figure reveals automatically when it is in base contact with another figure. If the figure is Discovered or is automatically revealed, the Camouflage Marker is replaced by its miniature (or miniatures), facing how the player prefers. If a Camouflage Marker does not perform anything but MOV in his turn, even if it crosses a Suppression Fire zone or a figure's ZC, the only ARO that can be executed against it is Discover or Change Facing.   Defensive Camouflage: To act against a Camouflage Marker, enemies must succeed in a Discover roll with a -3 Modifier. If the roll is failed, the camouflaged figure is not perceived and may not be a target of BS, CC, or any other Skill (Hacking, Sepsitor, etc.). If the Camouflaged miniature (Or miniatures, if they are clustered) is discovered, it will have to be placed on the battlefield, substituting the Camouflage Maker and losing all the advantages of Camouflage in Movement and Combat, but still complicating any BS Roll against him with a Modifier of -3. When placing the figure over terrain, he can face any direction his owner chooses.   Combat Camouflage: This allows a miniature in a camouflaged state to make a BS, Forward Observer, Sepsitor or Hacking attack before his opponent does. This attack is made with a Normal Roll. If the adversary survives the attack, he may then make any attacks he may have declared in ARO which are also made as Normal Rolls, with -3 to BS if shooting at the revealed figure. After this, the player will have to replace the Camouflage Marker with the correct figure. Combat Camouflage is only available for use with Ballistic Skills. In ARO, the reactions of Camouflaged soldiers are simultaneous to the Order they react to, so Face to Face Rolls will be made. If the Camouflaged figure receives an Intuitive Attack without having been Discovered first, he will have to reveal himself even if he passes the ARM Roll, removing the Camouflage Marker and placing the real figure. In the same way, if he is affected by a Template but the target was another figure, he will have to make an ARM Roll, revealing himself whether he passes the roll or not.   Camouflaging Again: When a figure has lost the Camouflaged status (It is represented by its figure and not a Camouflage Marker), he can recover his former status by spending 1 Order, provided that he is not in the LoF of any enemy miniatures. A figure in TO Camouflage in LoF of a miniature that intends to Camouflage itself again will have to reveal himself if he desires to prevent his enemy from re-entering Camouflaged status.	Rifle	Antipersonnel Mines	Knife	Pistol		
Foxtrot - Sniper	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280124-0141-Icon.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Ariadna\280124-0141.png	C:\Users\u0064666\Pictures\Cards\ImagesFromCB\Regular.png		4-4	13	11	13	13	0	0	1	3	0.5	26	CH: Camouflage, Infiltration	CH: Camouflage	The miniature has a special capacity, be it natural or learned, for hiding and stealth. He will also have chameleonic tools available: photoreactive cells and variable/ combinable environment patterns. These clothing-incorporated systems will merge the miniature with his surroundings. The Special Skill of Camouflage allows its owner to perform:   Camouflaged Deployment: This use is exclusive to the deployment phase and does not require the spending of any Orders or making of rolls. The miniature is not deployed in the usual way: a Camouflage Marker is placed instead. This type of Deployment also allows 3 miniatures (All with the Special Skill of Camouflage) to be deployed under the same Marker. One or more miniatures can be separated from the group at any point in the game, moving as a separate Camouflage Marker. All the figures placed under the Camouflage Marker are revealed if the adversary makes a successful Discover Roll, or if some of the figures perform an Order that uncovers them. When revealed, figures must appear no more than inch of distance from each other, although the player can place them facing however he likes. In game terms, a Camouflage Marker is always the same height as a base troop figure from its own army (Unless it has a Prone Marker beside it).   Camouflage in Movement: This allows the player to move the miniature without placing him on the battlefield. Only his Camouflage Marker will move. When several miniatures are moved under the same Camouflage Marker, they behave as if they were only one miniature. If they have different MOV values, the lowest is always used. The only Skills whose execution does not automatically rreveal the camouflaged figures are Cautious Movement and all Short Skills of Movement that do not require any roll (except Alert). The camouflaged figure reveals automatically when it is in base contact with another figure. If the figure is Discovered or is automatically revealed, the Camouflage Marker is replaced by its miniature (or miniatures), facing how the player prefers. If a Camouflage Marker does not perform anything but MOV in his turn, even if it crosses a Suppression Fire zone or a figure's ZC, the only ARO that can be executed against it is Discover or Change Facing.   Defensive Camouflage: To act against a Camouflage Marker, enemies must succeed in a Discover roll with a -3 Modifier. If the roll is failed, the camouflaged figure is not perceived and may not be a target of BS, CC, or any other Skill (Hacking, Sepsitor, etc.). If the Camouflaged miniature (Or miniatures, if they are clustered) is discovered, it will have to be placed on the battlefield, substituting the Camouflage Maker and losing all the advantages of Camouflage in Movement and Combat, but still complicating any BS Roll against him with a Modifier of -3. When placing the figure over terrain, he can face any direction his owner chooses.   Combat Camouflage: This allows a miniature in a camouflaged state to make a BS, Forward Observer, Sepsitor or Hacking attack before his opponent does. This attack is made with a Normal Roll. If the adversary survives the attack, he may then make any attacks he may have declared in ARO which are also made as Normal Rolls, with -3 to BS if shooting at the revealed figure. After this, the player will have to replace the Camouflage Marker with the correct figure. Combat Camouflage is only available for use with Ballistic Skills. In ARO, the reactions of Camouflaged soldiers are simultaneous to the Order they react to, so Face to Face Rolls will be made. If the Camouflaged figure receives an Intuitive Attack without having been Discovered first, he will have to reveal himself even if he passes the ARM Roll, removing the Camouflage Marker and placing the real figure. In the same way, if he is affected by a Template but the target was another figure, he will have to make an ARM Roll, revealing himself whether he passes the roll or not.   Camouflaging Again: When a figure has lost the Camouflaged status (It is represented by its figure and not a Camouflage Marker), he can recover his former status by spending 1 Order, provided that he is not in the LoF of any enemy miniatures. A figure in TO Camouflage in LoF of a miniature that intends to Camouflage itself again will have to reveal himself if he desires to prevent his enemy from re-entering Camouflaged status.	 Infiltration	Due to his ability to move stealthily, the miniature will be able to infiltrate the enemy's lines without being noticed. The use of the Infiltrate Special Skill is only allowed in the Deployment Phase. Infiltration allows a miniature the following options:   Option A: The miniature can be deployed, without having to spend an Order or make a Roll, up to the central area of the game table (within the half corresponding to his army). He is deployed in Camouflage or TO Camouflage status if applicable.   Option B: If the miniature wants to go further into enemy territory, he must to pass a Normal Roll of PH. Each 4 inch strip of distance advanced into enemy territory will add a cumulative Modifier of -1 to the roll. If he fails the roll, the Dispersion rule must now be applied. The centre of the Circular Template must be placed at the point in the battlefield where the figure wished to Infiltrate, with the number 1 pointing to the centre of the game table, multiplying the Failure Category by 2.5 (FC x 2.5) to determine where to place the infiltrator. Moreover, the miniature will lose the Camouflaged Deployment and Hidden Deployment options provided by the CH: Camouflage and CH: TO Camouflage Special Skills.   It is not allowed to Infiltrate inside the enemy's Zone of Deployment, or in base contact with another figure. If Dispersion would place the miniature in either position, move the figure back towards its initial Infiltration point until it is no longer in an illegal position; ie. the figure will be placed on the limit of the enemy's Zone of Deployment closest to the initial Infiltration point.  	Sniper Rifle	Antipersonnel Mines	Knife	Pistol		
